2025-11-11	a3dd7b9	registro500giappone	Initial commit
2025-11-11	ec409f7	registro500giappone	Create 00_project_context.md
2025-11-11	d1cc3e0	registro500giappone	Create main.gs
2025-11-11	f337cda	registro500giappone	Update main.gs
2025-11-11	e6c058d	registro500giappone	Create index.html
2025-11-11	d41c71e	registro500giappone	Update index.html
2025-11-11	6aae7fc	registro500giappone	Create detail
2025-11-11	1bbad44	registro500giappone	Update detail
2025-11-11	133863d	registro500giappone	Create edit.html
2025-11-11	95a764f	registro500giappone	Update edit.html
2025-11-11	1655b8f	registro500giappone	Rename detail to detail.html
2025-11-11	c4f6be3	registro500giappone	Create chat_template.md
2025-11-11	e1c1e69	registro500giappone	Update chat_template.md
2025-11-11	5c8d2c5	registro500giappone	Update main.gs
2025-11-11	8a4b38e	registro500giappone	Update index.html
2025-11-11	959b418	registro500giappone	Create index-bootstrapA.html
2025-11-12	c40ce7c	registro500giappone	Update main.gs
2025-11-13	7a22f64	registro500giappone	Update detail.html
2025-11-14	d246af9	registro500giappone	Update index.html
2025-11-15	2318faf	registro500giappone	Update index.html
2025-11-15	42c1cef	registro500giappone	Create policy
2025-11-15	e97d4c4	registro500giappone	Update and rename policy to policy.html
2025-11-15	0902b7e	registro500giappone	Update main.gs
2025-11-15	c0c425d	registro500giappone	Create howto.html
2025-11-15	b964afd	registro500giappone	Create readme.md
2025-11-16	7de510f	registro500giappone	Update main.gs
2025-11-16	23fdb0b	registro500giappone	Update index.html
2025-11-16	0c1b70e	registro500giappone	Update detail.html
2025-11-16	9c30325	registro500giappone	Update policy.html
2025-11-16	d0bc84d	registro500giappone	Update howto.html
2025-11-18	271aefa	registro500giappone	Update edit.html
2025-11-18	988becc	registro500giappone	Update README.md
2025-11-19	83b3e79	registro500giappone	Create 1119memo
2025-11-19	81a9bcd	registro500giappone	Update README.md
2025-11-19	9e51140	registro500giappone	Create owner
2025-11-19	8f333f2	registro500giappone	Rename owner to owner.html
2025-11-19	6601441	registro500giappone	Update detail.html
2025-11-19	86cfd74	registro500giappone	Create owner_edit_gate.html
2025-11-20	ddd0858	registro500giappone	Update README.md
2025-11-20	3a1c655	registro500giappone	Update edit.html
2025-11-20	b1e9b3a	registro500giappone	Update main.gs
2025-11-20	01313fc	registro500giappone	Update readme.md
2025-11-21	48e0633	registro500giappone	Update detail.html
2025-11-21	4a64c99	registro500giappone	Update detail.html
2025-11-21	30ed322	registro500giappone	Update edit.html
2025-11-21	3158a03	registro500giappone	Update main.gs
2025-11-21	872a72a	registro500giappone	Update README.md
2025-11-21	ebeafcf	registro500giappone	Update README.md
2025-11-21	cc247cf	registro500giappone	Update README.md
2025-11-21	cef9bb1	registro500giappone	Update owner_edit_gate.html
2025-11-21	28d36bf	registro500giappone	Update readme.md
2025-11-21	6d5f84a	registro500giappone	Update readme.md
2025-11-21	bc011f7	registro500giappone	Update readme.md
2025-11-22	4747d34	registro500giappone	Create 1122memo
2025-11-22	f82776f	registro500giappone	Update 1122memo
2025-11-22	28e4fcd	registro500giappone	Update owner_edit_gate.html
2025-11-22	f4f5848	registro500giappone	Update owner.html
2025-11-22	ea76dae	registro500giappone	Update edit.html
2025-11-22	6183f4b	registro500giappone	Update detail.html
2025-11-22	48cfaf4	registro500giappone	Update index.html
2025-11-22	35c2640	registro500giappone	Update main.gs
2025-11-22	bb5c4c3	registro500giappone	Update howto.html
2025-11-22	b060171	registro500giappone	Update policy.html
2025-11-23	36044f9	registro500giappone	Create 1123sumahomemo
2025-11-23	33582d6	registro500giappone	Update main.gs
2025-11-23	7b72e44	registro500giappone	Update detail.html
2025-11-23	343ea1e	registro500giappone	Update edit.html
2025-11-23	09c1a57	registro500giappone	Update owner.html
2025-11-23	470abd0	registro500giappone	Update owner_edit_gate.html
2025-11-23	41fe151	registro500giappone	Update readme.md
2025-11-23	8c0de30	registro500giappone	Update readme.md
2025-11-23	f685b23	registro500giappone	Update main.gs
